@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
435,5867,8.677098,71.5,4.283587,2,2,1,0.941333,0.520759,0.307257,0.172236,8,3,0,3,1,1,1,27.5,10,0,10,6,2,2,9,0,0,0,0,0,0,18.5,10,0,10,6,2,2,0.375,0,0.428571,0.333333,0.5,0.5,0.363636,0,0.4,0.333333,0.5,0.666667,1,7,3,2,2,2.5,25,18,4,3,true,0.166743,0.028793,0.893333,0.23876,-1.174725,0.032113,0.22369,0.211025,6.973684,0.558681,1.710483,0.032113,0,0,0,0,0,1,5
466,6023.5,8.703424,83,4.430817,2,2,1,0.94383,0.53168,0.30528,0.16328,5,2,0,2,0,1,1,16,4,0,4,0,2,2,7.5,4,0,4,0,2,2,8.5,0,0,0,0,0,0,0.4,0,0.5,0,0.5,0.5,0.25,0,0.32,0,0.235294,0.5,1,4,0,2,2,3.5,12.5,0,8.5,4,false,0.164255,0.026894,0.866242,0.230147,-1.184591,0.0304,0.219574,0.207745,7.236842,0.555042,1.724349,0.0304,0,0,0,0,0,0,0
505,6295.5,8.74759,31.5,3.48124,2,2,1,0.946122,0.542612,0.29597,0.161642,12,5,0,5,2,2,1,67.5,26.5,0,26.5,6.5,16.5,3.5,12.5,0,0,0,0,0,0,55,26.5,0,26.5,6.5,16.5,3.5,0.416667,0,0.454545,0.4,0.5,0.5,0.392593,0,0.449153,0.342105,0.5,0.5,1,11,5,4,2,8.5,59,19,33,7,true,0.161493,0.024833,0.877301,0.227148,-1.154217,0.028861,0.222397,0.211473,7.3,0.553543,1.702849,0.028861,0,0,0,0,1,0,4
563,6660.5,8.80395,42.5,3.772761,2,2,1,0.950189,0.549983,0.295809,0.154412,4,0,0,0,0,0,0,56.5,0,0,0,0,0,0,21.5,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,35,21.5,9.5,4.5,7.5,false,0.166138,0.027584,0.848315,0.220094,-1.182911,0.025333,0.220811,0.209242,7.658536,0.545324,1.74595,0.025333,0,0,0,0,1,0,4
569,6869.5,8.834846,0,0,2,2,1,0.950189,0.545796,0.299229,0.155176,8,2,0,2,0,2,0,99,11,0,11,0,11,0,65.5,0,0,0,0,0,0,33.5,11,0,11,0,11,0,0.25,0,0.285714,0,0.4,0,0.111111,0,0.125714,0,0.4,0,1,7,1,5,1,11.5,87.5,2,27.5,58,false,0.167888,0.027295,0.836066,0.219784,-1.212643,0.025055,0.22199,0.210541,7.829268,0.549027,1.753281,0.025055,0,0,0,0,0,1,5
582,7035.5,8.858724,35.5,3.597312,2,2,1,0.951111,0.543856,0.298431,0.157908,10,5,0,5,1,3,1,63.5,29.5,0,29.5,1,26.5,2,11,1,0,1,1,0,0,52.5,28.5,0,28.5,0,26.5,2,0.5,0,0.555556,1,0.5,0.5,0.464567,0,0.508621,1,0.5,0.5,1,9,1,6,2,5.5,58,1,53,4,true,0.169283,0.026689,0.84492,0.222021,-1.17845,0.024255,0.220478,0.209283,7.477273,0.547676,1.716096,0.024255,0,0,0,0,1,0,4
611,7556.5,8.930163,0,0,2,2,1,0.954483,0.535247,0.311173,0.153765,6,1,0,1,0,1,0,99,9.5,0,9.5,0,9.5,0,72,0,0,0,0,0,0,27,9.5,0,9.5,0,9.5,0,0.166667,0,0.2,0,0.333333,0,0.09596,0,0.104396,0,0.333333,0,1,5,1,3,1,8,91,2,28.5,60.5,false,0.172683,0.027057,0.800971,0.219346,-1.226297,0.0228,0.219837,0.209171,7.977273,0.553171,1.766763,0.0228,0,0,0,0,0.333333,0.666667,5
616,7668.5,8.944877,47,3.871201,2,2,1,0.956,0.530152,0.314043,0.155988,12,5,0,5,2,2,1,52,14,0,14,3.5,8.5,2,9.5,4,0,4,0,2,2,42.5,10,0,10,3.5,6.5,0,0.416667,0,0.454545,0.4,0.5,0.5,0.269231,0,0.294737,0.170732,0.386364,0.4,1,11,5,4,2,4.5,47.5,20.5,22,5,false,0.172903,0.026839,0.805687,0.222657,-1.221752,0.022574,0.219677,0.209097,8.136364,0.55641,1.754412,0.022574,0,0,0,0,1,0,4
634,8303.5,9.024432,78.5,4.375757,2,2,1,0.958095,0.52701,0.313166,0.16,5,3,0,3,1,1,1,20.5,5,0,5,1,2,2,5,5,0,5,1,2,2,15.5,0,0,0,0,0,0,0.6,0,0.6,1,0.5,0.5,0.243902,0,0.243902,1,0.4,0.137931,0,5,1,2,2,0,20.5,1,5,14.5,false,0.174295,0.027649,0.824885,0.227605,-1.154533,0.021923,0.219749,0.209467,7.87234,0.556899,1.7054,0.021923,0,0,0,0,0,1,5
667,8554.5,9.054213,65,4.189655,2,2,1,0.958095,0.533013,0.306421,0.160736,9,4,0,4,1,1,2,34,12.5,0,12.5,2,4,6.5,8.5,0,0,0,0,0,0,25.5,12.5,0,12.5,2,4,6.5,0.444444,0,0.5,0.5,0.5,0.5,0.367647,0,0.5,0.5,0.5,0.5,1,8,2,2,4,9,25,4,8,13,true,0.168703,0.026289,0.832579,0.225815,-1.149129,0.021509,0.214903,0.205127,7.64,0.55156,1.710193,0.021509,0,0,0,0,1,0,4
