@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
875,8233,9.015905,76,4.343805,2,2,1,0.955254,0.625115,0.255294,0.119744,8,5,0,5,1,2,2,23,11,0,11,1,4,6,5,5,0,5,1,2,2,18,6,0,6,0,2,4,0.625,0,0.625,1,0.5,0.666667,0.478261,0,0.478261,1,0.333333,0.6,0,8,1,4,3,0,23,1,12,10,true,0.145848,0.025757,0.784314,0.178043,-1.031054,0.022574,0.19818,0.19413,9.025641,0.46485,1.905309,0.022574,0,0,0,0,1,0,4
910,8510,9.048997,0,0,2,2,1,0.955254,0.629752,0.25203,0.118366,5,1,0,1,0,0,1,99,36,0,36,0,0,36,55,0,0,0,0,0,0,44,36,0,36,0,0,36,0.2,0,0.25,0,0,0.5,0.363636,0,0.395604,0,0,0.423529,1,4,1,1,2,8,91,1,5,85,true,0.143545,0.025864,0.778846,0.175,-1.008441,0.021923,0.196061,0.191072,8.804878,0.461397,1.864303,0.021923,0,0,0,1,0,0,3
964,9091,9.11504,71,4.276666,2,2,1,0.957419,0.626836,0.252471,0.120831,7,2,0,2,0,2,0,28,10,0,10,0,10,0,6,0,0,0,0,0,0,22,10,0,10,0,10,0,0.285714,0,0.333333,0,0.5,0,0.357143,0,0.416667,0,0.526316,0,1,6,1,4,1,4,24,4,19,1,false,0.146901,0.027521,0.780269,0.176432,-0.99948,0.020541,0.199587,0.194876,9.116279,0.470617,1.899888,0.020541,0,0,0,0,0,1,5
968,9250,9.132379,28.5,3.38439,2,2,1,0.958095,0.622674,0.256731,0.120731,6,1,0,1,0,1,0,70.5,12,0,12,0,12,0,22.5,0,0,0,0,0,0,48,12,0,12,0,12,0,0.166667,0,0.2,0,0.333333,0,0.170213,0,0.255319,0,0.328767,0,1,5,1,3,1,23.5,47,7.5,36.5,3,false,0.148354,0.027407,0.768559,0.176684,-1.013345,0.020177,0.200823,0.196132,9.27907,0.474572,1.894508,0.020177,0,0,0,1,0,0,3
973,9328,9.140776,64,4.174387,2,2,1,0.959385,0.619298,0.260068,0.12077,8,3,0,3,1,0,2,35,10,0,10,1,0,9,13,3,0,3,1,0,2,22,7,0,7,0,0,7,0.375,0,0.428571,0.5,0,0.5,0.285714,0,0.322581,0.5,0,0.391304,1,7,2,1,4,4,31,2,6,23,false,0.148618,0.027267,0.764957,0.177989,-1.012262,0.02,0.200819,0.196151,9.395349,0.476606,1.885553,0.02,0,0,0,0,0,1,5
988,9464,9.155251,61,4.127134,2,2,1,0.96,0.618551,0.258239,0.123344,9,4,0,4,2,1,1,38,11,0,11,7,2,2,6.5,0,0,0,0,0,0,31.5,11,0,11,7,2,2,0.444444,0,0.5,0.5,0.5,0.5,0.289474,0,0.52381,0.5,0.571429,0.571429,1,8,4,2,2,17,21,14,3.5,3.5,true,0.148387,0.026855,0.779661,0.180417,-1.009387,0.019655,0.200806,0.19621,8.934783,0.475862,1.881098,0.019655,0,0,0,1,0,0,3
1123,10509,9.259987,59,4.094345,2,2,1,0.966582,0.625706,0.254334,0.120079,10,4,0,4,1,1,2,40,7.5,0,7.5,1,2,4.5,7.5,3,0,3,1,0,2,32.5,4.5,0,4.5,0,2,2.5,0.4,0,0.444444,0.5,0.333333,0.5,0.1875,0,0.205479,0.333333,0.095238,0.36,1,9,2,3,4,3.5,36.5,3,21,12.5,false,0.144809,0.024525,0.793893,0.181084,-1.006302,0.017405,0.20071,0.196664,9.765958,0.475292,1.897728,0.017405,0,0,0,0,1,0,4
1132,10680.5,9.276175,21,3.091043,2,2,1,0.967,0.620702,0.25306,0.126355,17,8,0,8,3,4,1,78,38.5,0,38.5,22,14.5,2,4.5,0,0,0,0,0,0,73.5,38.5,0,38.5,22,14.5,2,0.470588,0,0.5,0.5,0.5,0.5,0.49359,0,0.509934,0.5,0.508772,0.666667,1,16,6,8,2,2.5,75.5,44,28.5,3,true,0.145423,0.024331,0.82197,0.186945,-0.974911,0.017143,0.2,0.195986,9.36,0.47625,1.856527,0.017143,0,0,0,0,0,1,5
1223,11655.5,9.363533,2.5,1.252763,2,2,1,0.969655,0.618348,0.256409,0.12535,8,4,1,3,0,2,1,96.5,41.5,1,40.5,0,38.5,2,6,4,0,4,0,2,2,90.5,37.5,1,36.5,0,36.5,0,0.5,0.5,0.5,0,0.666667,0.5,0.430052,0.064516,0.5,0,0.513333,0.5,2,6,1,3,2,15.5,81,2,75,4,false,0.146862,0.026601,0.806897,0.186311,-0.989531,0.015833,0.203097,0.199381,10,0.480462,1.864808,0.015833,0,0,0,0,0,1,5
1242,12022,9.394494,5.5,1.871802,2,2,1,0.969655,0.613216,0.256274,0.130615,11,5,0,5,1,1,3,93.5,43,0,43,12,2.5,28.5,24,0,0,0,0,0,0,69.5,43,0,43,12,2.5,28.5,0.454545,0,0.5,0.5,0.5,0.5,0.459893,0,0.5,0.5,0.5,0.5,1,10,2,2,6,7.5,86,24,5,57,true,0.147833,0.027801,0.820946,0.190016,-0.96434,0.015616,0.204013,0.200353,9.722222,0.482817,1.819999,0.015616,0,0,0,0,0,1,5
