@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,turn,663,false,0,6659.5,99,2,2,1,0.934,0.829333,0,0,0,0,0,false,0.151724,0.027946,0.75,0.178605,-1.027165,0.028861,0.195202,0.191364,9.466666,0.477622,1.783423,0.028861,1,bet
0,0,2,flop,675,false,0,6790,93.5,2,2,1,0.93561,0.904615,1,0,0,0,0,false,0.150515,0.027452,0.747059,0.177405,-1.027446,0.0285,0.196171,0.192401,9.566667,0.476207,1.813718,0.0285,1,bet
0,0,2,flop,703,false,0,6908,99,2,2,1,0.937143,0.908148,0,0,0,0,0,false,0.145969,0.026365,0.748538,0.17363,-1.025889,0.028148,0.195474,0.191853,9.733334,0.472605,1.830825,0.028148,1,bet
0,0,2,flop,707,false,0,6945.5,99,2,2,1,0.938605,0.911429,0,0,0,0,0,false,0.149367,0.026217,0.741379,0.173568,-1.028064,0.027143,0.195781,0.19218,9.833333,0.473667,1.837049,0.027143,1,bet
0,0,2,flop,711,false,0,6980.5,99,2,2,1,0.94,0.914483,0,0,0,0,0,false,0.14993,0.02607,0.742857,0.173761,-1.026512,0.026512,0.197483,0.192503,9.580646,0.473841,1.843029,0.026512,1,bet
0,0,2,flop,715,false,0,6989.5,99,2,2,1,0.941333,0.917333,0,0,0,0,0,false,0.151878,0.027316,0.75,0.175907,-1.023418,0.026207,0.196384,0.191433,9.580646,0.470724,1.843029,0.026207,1,bet
0,0,2,flop,775,false,0,7320.5,99,2,2,1,0.942609,0.92,0,0,0,0,0,false,0.146598,0.025212,0.752747,0.171003,-1.0111,0.025333,0.197946,0.193376,9.545455,0.468721,1.868877,0.025333,1,bet
0,0,2,flop,799,false,0,7494,99,2,2,1,0.94383,0.9225,0,0,0,0,0,false,0.145953,0.025704,0.755435,0.169801,-1.008438,0.025055,0.197011,0.192578,9.666667,0.464157,1.902471,0.025055,1,bet
0,0,2,turn,825,false,0,7617,84,2,2,1,0.945,0.84,3,1,0.333333,1.704748,0.3,false,0.143788,0.026104,0.763441,0.168855,-1.004265,0.024783,0.19807,0.193776,9.909091,0.464317,1.903632,0.024783,1,bet
0,0,2,river,825,false,0,7627,79,2,2,1,0.946122,0.628571,5,2,0.4,2.014903,0.325,false,0.143788,0.026104,0.764706,0.169705,-1.002642,0.024783,0.19807,0.193776,9.939394,0.465103,1.900877,0.024783,1,bet
0,0,2,turn,837,false,0,7684.5,91,2,2,1,0.9472,0.849412,2,0,0,0,0,false,0.144114,0.025731,0.753927,0.168608,-1.004975,0.024255,0.197622,0.193389,9.764706,0.464162,1.903318,0.024255,1,bet
0,0,2,flop,845,false,0,7755.5,95.5,2,2,1,0.948235,0.924848,1,0,0,0,0,false,0.143934,0.025489,0.751295,0.16817,-1.004017,0.024,0.198115,0.193922,9.852942,0.46447,1.912108,0.024,1,bet
0,0,2,river,851,false,0,7793,85.5,2,2,1,0.949231,0.675,4,1,0.25,1.098612,0.148148,true,0.144094,0.02531,0.75,0.169193,-1.006497,0.02375,0.197895,0.193731,9.657143,0.463456,1.911582,0.02375,1,bet
0,0,2,turn,865,false,0,7832,95,2,2,1,0.950189,0.857778,3,1,0.333333,0.693147,0.25,false,0.142923,0.026053,0.752525,0.169363,-1.003449,0.023505,0.197008,0.192911,9.742857,0.461173,1.911544,0.023505,1,bet
0,0,2,river,865,false,0,7878,72,2,2,1,0.951111,0.711111,8,4,0.5,2.674149,0.5,true,0.142923,0.026053,0.767677,0.172405,-0.98837,0.023505,0.197008,0.192911,9.527778,0.462031,1.892669,0.023505,1,bet
0,0,2,flop,871,false,0,8166.5,99,2,2,1,0.952,0.927059,0,0,0,0,0,false,0.144229,0.025874,0.766169,0.173156,-1.041454,0.02303,0.197943,0.193874,9.378378,0.463724,1.919447,0.02303,1,bet
0,0,2,flop,875,false,0,8187,99,2,2,1,0.952857,0.929143,0,0,0,0,0,false,0.145848,0.025757,0.763547,0.173317,-1.042457,0.022574,0.19818,0.19413,9.432432,0.463923,1.920703,0.022574,1,bet
0,0,2,turn,875,false,0,8189,98,2,2,1,0.953684,0.865263,1,1,1,0.693147,1,true,0.145848,0.025757,0.768473,0.17431,-1.040752,0.022574,0.19818,0.19413,9.184211,0.463288,1.919021,0.022574,1,bet
0,0,2,river,875,false,0,8213,86,2,2,1,0.954483,0.74,5,3,0.6,1.791759,0.384615,false,0.145848,0.025757,0.77451,0.176077,-1.038763,0.022574,0.19818,0.19413,9.236842,0.464754,1.914292,0.022574,1,bet
0,0,2,flop,913,false,0,8515,99,2,2,1,0.955254,0.931111,0,0,0,0,0,false,0.144166,0.02578,0.77512,0.174596,-1.008729,0.021714,0.19542,0.190447,8.804878,0.46079,1.864303,0.021714,1,bet
0,0,2,flop,941,false,0,8848.5,99,2,2,1,0.956,0.932973,0,0,0,0,0,false,0.145185,0.02819,0.798122,0.178076,-0.995578,0.021308,0.195979,0.191153,8.904762,0.462675,1.889653,0.021308,1,bet
0,0,2,flop,955,false,0,8935,99,2,2,1,0.956721,0.934737,0,0,0,0,0,false,0.145151,0.027779,0.788018,0.176238,-0.999415,0.020917,0.197289,0.192534,9.071428,0.465075,1.898662,0.020917,1,bet
