@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
925,10095,9.219795,26,3.295837,2,2,1,0.965714,0.609029,0.266553,0.124563,15,8,1,7,1,4,2,73,23,1,22,1,16.5,4.5,5,4,0,4,0,2,2,68,19,1,18,1,14.5,2.5,0.533333,0.5,0.538462,0.333333,0.571429,0.666667,0.315068,0.031746,0.53012,0.285714,0.532258,0.642857,2,13,3,7,3,31.5,41.5,3.5,31,7,true,0.14338,0.026523,0.834821,0.196214,-1.280402,0.020357,0.181055,0.17507,7.851064,0.455725,1.852532,0.020357,0,0,0,0,0,0,0
970,10309,9.240772,91,4.521789,2,2,1,0.966582,0.60836,0.268637,0.123141,5,1,0,1,1,0,0,8,2,0,2,2,0,0,5,0,0,0,0,0,0,3,2,0,2,2,0,0,0.2,0,0.25,0.5,0,0,0.25,0,0.285714,0.5,0,0,1,4,2,1,1,1,7,4,1,2,false,0.143943,0.027351,0.814346,0.193418,-1.284421,0.019322,0.182957,0.177248,8.104167,0.458424,1.859454,0.019322,0,1,0,0,0,0,1
973,10363,9.245997,74.5,4.324132,2,2,1,0.967407,0.604628,0.271065,0.124444,9,4,0,4,1,0,3,24.5,10,0,10,1,0,9,5,3,0,3,1,0,2,19.5,7,0,7,0,0,7,0.444444,0,0.5,0.5,0,0.6,0.408163,0,0.425532,0.153846,0,0.5625,1,8,2,1,5,1,23.5,6.5,1,16,true,0.144524,0.027267,0.817427,0.195794,-1.276588,0.01916,0.183419,0.177728,8.040816,0.460577,1.84903,0.01916,0,0,0,0,0,1,5
988,10505,9.259606,52.5,3.979682,2,2,1,0.967805,0.603191,0.270382,0.126562,10,4,0,4,2,1,1,46.5,22.5,0,22.5,18.5,2,2,4.5,0,0,0,0,0,0,42,22.5,0,22.5,18.5,2,2,0.4,0,0.444444,0.5,0.333333,0.5,0.483871,0,0.494505,0.5,0.363636,0.666667,1,9,4,3,2,1,45.5,37,5.5,3,true,0.145363,0.026855,0.82449,0.197317,-1.254978,0.018843,0.184677,0.179073,7.921568,0.463133,1.82574,0.018843,0,0,0,1,0,0,3
1149,11855.5,9.380548,55,4.025352,2,2,1,0.970667,0.611118,0.265928,0.123071,7,3,0,3,1,2,0,44,7,0,7,1,6,0,34.5,3,0,3,1,2,0,9.5,4,0,4,0,4,0,0.428571,0,0.5,0.5,0.666667,0,0.159091,0,0.466667,0.4,0.6,0,1,6,2,3,1,29,15,2.5,10,2.5,false,0.140676,0.023972,0.805755,0.191039,-1.253577,0.016286,0.185776,0.179219,8.105263,0.462295,1.801571,0.016286,0,0,0,1,0,0,3
1178,12064,9.397981,68.5,4.241327,2,2,1,0.971613,0.610275,0.266009,0.123829,7,3,0,3,1,1,1,30.5,14,0,14,2.5,7,4.5,14,0,0,0,0,0,0,16.5,14,0,14,2.5,7,4.5,0.428571,0,0.5,0.5,0.5,0.5,0.459016,0,0.5,0.5,0.5,0.5,1,6,2,2,2,2.5,28,5,14,9,true,0.142301,0.02423,0.810526,0.192314,-1.23928,0.015833,0.18714,0.180744,7.9,0.461355,1.800358,0.015833,0,0,0,0,1,0,4
1199,12220.5,9.410871,73,4.304065,2,2,1,0.972211,0.610446,0.263606,0.126059,10,5,0,5,0,3,2,26,11.5,0,11.5,0,7.5,4,11,4,0,4,0,2,2,15,7.5,0,7.5,0,5.5,2,0.5,0,0.555556,0,0.6,0.666667,0.442308,0,0.575,0,0.576923,0.666667,1,9,1,5,3,6,20,1,13,6,true,0.142311,0.02547,0.826389,0.194521,-1.229483,0.015724,0.188861,0.182577,7.806452,0.462561,1.798495,0.015724,0,0,0,0,0,1,5
1242,12895,9.464595,13,2.639057,2,2,1,0.9736,0.603061,0.265694,0.131352,10,4,0,4,1,2,1,86,39.5,0,39.5,1,36.5,2,20,0,0,0,0,0,0,66,39.5,0,39.5,1,36.5,2,0.4,0,0.444444,0.333333,0.5,0.5,0.459302,0,0.49375,0.25,0.5,0.666667,1,9,3,4,2,6,80,4,73,3,true,0.146228,0.027801,0.841584,0.2,-1.203565,0.015099,0.190369,0.184302,7.742424,0.465736,1.780237,0.015099,0,0,0,0,0.5,0.5,5
1266,13114,9.481436,39,3.688879,2,2,1,0.9736,0.602648,0.265366,0.132091,7,2,0,2,1,1,0,60,7.5,0,7.5,4.5,3,0,9,0,0,0,0,0,0,51,7.5,0,7.5,4.5,3,0,0.285714,0,0.333333,0.333333,0.5,0,0.125,0,0.333333,0.3,0.5,0,1,6,3,2,1,37.5,22.5,15,6,1.5,false,0.147402,0.02885,0.838188,0.199357,-1.211219,0.014805,0.191496,0.185543,7.80597,0.467336,1.787637,0.014805,0,0,0,0,1,0,4
1286,13635,9.520395,57,4.060443,2,2,1,0.974118,0.597477,0.268235,0.13439,5,1,0,1,0,0,1,42,2.5,0,2.5,0,0,2.5,11.5,0,0,0,0,0,0,30.5,2.5,0,2.5,0,0,2.5,0.2,0,0.25,0,0,0.5,0.059524,0,0.178571,0,0,0.5,1,4,1,1,2,28,14,2.5,6.5,5,true,0.149767,0.029953,0.836991,0.201415,-1.184137,0.01443,0.191628,0.185767,7.911765,0.470714,1.760199,0.01443,0,0,0,0,0,1,5
1295,13740.5,9.528103,87,4.477337,2,2,1,0.975327,0.594642,0.270126,0.135333,5,4,0,4,1,1,2,12,8.5,0,8.5,1,2,5.5,5,5,0,5,1,2,2,7,3.5,0,3.5,0,0,3.5,0.8,0,0.8,1,1,0.666667,0.708333,0,0.708333,1,1,0.611111,0,5,1,1,3,0,12,1,2,9,true,0.150269,0.029746,0.846154,0.204648,-1.173418,0.014161,0.19261,0.18602,7.597222,0.472423,1.746981,0.014161,0,0,0,0,0,1,5
1299,13832,9.53474,56.5,4.051785,2,2,1,0.976,0.591993,0.271055,0.137052,11,6,0,6,2,2,2,42.5,11,0,11,2,4.5,4.5,28.5,5,0,5,1,2,2,14,6,0,6,1,2.5,2.5,0.545455,0,0.6,0.5,0.666667,0.666667,0.258824,0,0.578947,0.4,0.642857,0.642857,1,10,4,3,3,23.5,19,5,7,7,true,0.150576,0.029655,0.856707,0.207686,-1.172402,0.014074,0.192786,0.186216,7.459459,0.473077,1.741914,0.014074,0,0,0,0.25,0.75,0,4
1380,14415.5,9.576059,48.5,3.901973,2,2,1,0.976842,0.593228,0.271867,0.135,7,2,0,2,1,0,1,50.5,15,0,15,13,0,2,16.5,0,0,0,0,0,0,34,15,0,15,13,0,2,0.285714,0,0.333333,0.5,0,0.333333,0.29703,0,0.434783,0.5,0,0.333333,1,6,2,1,3,16,34.5,26,2.5,6,false,0.155491,0.030087,0.83908,0.204509,-1.165612,0.012955,0.192341,0.186156,7.76,0.471287,1.771078,0.012955,0,0,0,0,0,1,5
1556,15685,9.66046,13.5,2.674149,2,2,1,0.978537,0.601157,0.265801,0.133126,10,4,0,4,1,2,1,85.5,37.5,0,37.5,9,26.5,2,23,0,0,0,0,0,0,62.5,37.5,0,37.5,9,26.5,2,0.4,0,0.444444,0.333333,0.5,0.5,0.438596,0,0.449102,0.327273,0.5,0.666667,1,9,3,4,2,2,83.5,27.5,53,3,true,0.155256,0.031179,0.83727,0.200521,-1.145963,0.011692,0.196282,0.190154,8.0875,0.470214,1.786414,0.011692,0,0,0,0,1,0,4
1557,15747,9.664405,69,4.248495,2,2,1,0.978537,0.599044,0.266976,0.134065,6,2,0,2,1,0,1,30,10.5,0,10.5,2,0,8.5,19.5,0,0,0,0,0,0,10.5,10.5,0,10.5,2,0,8.5,0.333333,0,0.4,0.5,0,0.5,0.35,0,0.411765,0.5,0,0.5,1,5,2,1,2,4.5,25.5,4,4.5,17,true,0.155798,0.03116,0.835938,0.201167,-1.142544,0.011633,0.196797,0.190673,7.939024,0.471082,1.780438,0.011633,0,0,0,0,0.5,0.5,5
1625,16174.5,9.691192,76,4.343805,2,2,1,0.979535,0.605048,0.264342,0.130692,5,4,0,4,1,1,2,23,14,0,14,1,2,11,5,5,0,5,1,2,2,18,9,0,9,0,0,9,0.8,0,0.8,1,1,0.666667,0.608696,0,0.608696,1,1,0.55,0,5,1,1,3,0,23,1,2,20,true,0.154205,0.030473,0.835025,0.198875,-1.133951,0.011232,0.196562,0.190694,7.870588,0.467804,1.800035,0.011232,0,0,0,0,0,1,5
